caseID	prot_aliquot	type	caseIDd	withProt	withRNA
C3L-00010-T	CPT0001220008	Tumor	C3L-00010	TRUE	TRUE
C3N-00852-T	CPT0024670003	Tumor	C3N-00852	TRUE	TRUE
C3N-01522-T	CPT0077110003	Tumor	C3N-01522	TRUE	TRUE
C3L-01288-T	CPT0079230003	Tumor	C3L-01288	TRUE	TRUE
C3L-00799-T	CPT0025230003	Tumor	C3L-00799	TRUE	TRUE
C3L-00088-T	CPT0000870016	Tumor	C3L-00088	TRUE	TRUE
C3L-00910-T	CPT0007860003	Tumor	C3L-00910	TRUE	TRUE
C3N-01261-T	CPT0077490003	Tumor	C3N-01261	TRUE	TRUE
C3L-00606-T	CPT0079270003	Tumor	C3L-00606	TRUE	TRUE
C3L-01603-T	CPT0087040003	Tumor	C3L-01603	TRUE	TRUE
C3L-01553-T	CPT0065930003	Tumor	C3L-01553	TRUE	TRUE
C3L-01281-T	CPT0079480003	Tumor	C3L-01281	TRUE	TRUE
C3N-00320-T	CPT0012370003	Tumor	C3N-00320	TRUE	TRUE
C3L-01557-T	CPT0085670003	Tumor	C3L-01557	TRUE	TRUE
C3L-01352-T	CPT0071150004	Tumor	C3L-01352	TRUE	TRUE
C3N-01176-T	CPT0078930003	Tumor	C3N-01176	TRUE	TRUE
C3N-00834-T	CPT0078830003	Tumor	C3N-00834	TRUE	TRUE
C3L-00418-T	CPT0006630003	Tumor	C3L-00418	TRUE	TRUE
C3L-00796-T	CPT0065750003	Tumor	C3L-00796	TRUE	TRUE
C3L-00103-T	CPT0000640003	Tumor	C3L-00103	TRUE	TRUE
C3L-00097-T	CPT0000780007	Tumor	C3L-00097	TRUE	TRUE
C3N-00312-T	CPT0009060003	Tumor	C3N-00312	TRUE	TRUE
C3L-00583-T	CPT0019130003	Tumor	C3L-00583	TRUE	TRUE
C3L-00814-T	CPT0065810003	Tumor	C3L-00814	TRUE	TRUE
C3L-01313-T	CPT0086820003	Tumor	C3L-01313	TRUE	TRUE
C3L-00026-T	CPT0001500009	Tumor	C3L-00026	TRUE	TRUE
C3L-00447-T	CPT0006900003	Tumor	C3L-00447	TRUE	TRUE
C3L-00448-T	CPT0010160003	Tumor	C3L-00448	TRUE	TRUE
C3N-01808-T	CPT0089460004	Tumor	C3N-01808	TRUE	TRUE
C3L-00011-T	CPT0001340003	Tumor	C3L-00011	TRUE	TRUE
C3N-00310-T	CPT0009000003	Tumor	C3N-00310	TRUE	TRUE
C3N-00244-T	CPT0014370004	Tumor	C3N-00244	TRUE	TRUE
C3L-00791-T	CPT0026410003	Tumor	C3L-00791	TRUE	TRUE
C3L-01286-T	CPT0086950003	Tumor	C3L-01286	TRUE	TRUE
C3N-00246-T	CPT0025580004	Tumor	C3N-00246	TRUE	TRUE
C3N-00242-T	CPT0014450004	Tumor	C3N-00242	TRUE	TRUE
C3L-00369-T	CPT0006440003	Tumor	C3L-00369	TRUE	TRUE
